Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Nynorsk	Bokmål	Engelsk
101	Halden	25	Halden	Østfold	http://www.yr.no/stad/Noreg/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Halden/varsel.xml
101	Brekke Sluse	40	Halden	Østfold	http://www.yr.no/stad/Noreg/Østfold/Halden/Brekke_Sluse/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Brekke_Sluse/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Brekke_Sluse/varsel.xml
101	Prestebakke	40	Halden	Østfold	http://www.yr.no/stad/Noreg/Østfold/Halden/Prestebakke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Prestebakke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Prestebakke/varsel.xml
101	Berg	50	Halden	Østfold	http://www.yr.no/stad/Noreg/Østfold/Halden/Berg/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Berg/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Berg/varsel.xml
101	Sponvika	50	Halden	Østfold	http://www.yr.no/stad/Noreg/Østfold/Halden/Sponvika/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Sponvika/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Sponvika/varsel.xml
104	Moss	25	Moss	Østfold	http://www.yr.no/stad/Noreg/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Moss/varsel.xml
104	Bevøya	60	Moss	Østfold	http://www.yr.no/stad/Noreg/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Bevøya/varsel.xml
104	Dillingøya	60	Moss	Østfold	http://www.yr.no/stad/Noreg/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Dillingøya/varsel.xml
104	Kambo	60	Moss	Østfold	http://www.yr.no/stad/Noreg/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Kambo/varsel.xml
104	Gullholmen	40	Moss	Østfold	http://www.yr.no/stad/Noreg/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Gullholmen/varsel.xml
105	Sarpsborg	25	Sarpsborg	Østfold	http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Sarpsborg/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Sarpsborg/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Sarpsborg/varsel.xml
105	Greåker	50	Sarpsborg	Østfold	http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Greåker/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Greåker/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Greåker/varsel.xml
105	Hafslundsøy	50	Sarpsborg	Østfold	http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hafslundsøy/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hafslundsøy/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hafslundsøy/varsel.xml
105	Skjeberg	50	Sarpsborg	Østfold	http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Skjeberg/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Skjeberg/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Skjeberg/varsel.xml
105	Yven	50	Sarpsborg	Østfold	http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Yven/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Yven/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Yven/varsel.xml
106	Fredrikstad	25	Fredrikstad	Østfold	http://www.yr.no/stad/Noreg/Østfold/Fredrikstad/Fredrikstad/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Fredrikstad/Fredrikstad/varsel.xml	http://www.yr.no/place/Norway/Østfold/Fredrikstad/Fredrikstad/varsel.xml
